title,type,release_year,runtime,genres,lead_production_country,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,role,dbscan_cluster
Pokémon,SHOW,1997,22,scifi,JP,7.4,224.0,534.831,7.7,Rica Matsumoto,ACTOR,28
Sleepless in Seattle,MOVIE,1993,105,comedy,US,6.8,180523.0,17.739,6.711,Tom Hanks,ACTOR,4
Forrest Gump,MOVIE,1994,142,comedy,US,8.8,2106826.0,69.614,8.479,Tom Hanks,ACTOR,4
Reservoir Dogs,MOVIE,1992,99,thriller,US,8.3,1031133.0,31.647,8.141,Harvey Keitel,ACTOR,19
Gilmore Girls,SHOW,2000,46,comedy,US,8.2,131967.0,265.155,7.916,Lauren Graham,ACTOR,16
Cowboy Bebop,SHOW,1998,25,scifi,JP,8.9,123834.0,60.015,8.522,Koichi Yamadera,ACTOR,28
Galaxy Quest,MOVIE,1999,101,scifi,US,7.4,166882.0,17.967,7.1,Tim Allen,ACTOR,29
Neon Genesis Evangelion,SHOW,1995,24,scifi,JP,8.5,73413.0,51.872,8.656,Hideaki Anno,DIRECTOR,28
Jerry Maguire,MOVIE,1996,138,drama,US,7.3,272498.0,20.241,6.947,Tom Cruise,ACTOR,1
Notting Hill,MOVIE,1999,124,romance,US,7.2,320706.0,27.642,7.261,Julia Roberts,ACTOR,2
The Real World,SHOW,1992,32,reality,US,6.3,28.0,22.549,6.1,Unknown,Unknown,26
Power Rangers,SHOW,1993,22,action,US,6.5,23091.0,37.756,6.83,Russell Curry,ACTOR,30
Big Daddy,MOVIE,1999,93,comedy,US,6.4,222489.0,24.717,6.453,Adam Sandler,ACTOR,4
The Quick and the Dead,MOVIE,1995,107,western,JP,6.5,97101.0,19.366,6.5,Sharon Stone,ACTOR,-1
Big Brother,SHOW,2000,43,reality,US,5.5,10811.0,67.799,4.938,Julie Chen Moonves,ACTOR,26
I Know What You Did Last Summer,MOVIE,1997,101,horror,US,5.7,142696.0,15.885,5.933,Jennifer Love Hewitt,ACTOR,31
The Magic School Bus,SHOW,1994,26,animation,US,7.8,10291.0,23.413,7.7,Daniel DeSanto,ACTOR,32
Inuyasha,SHOW,2000,25,animation,JP,7.9,16790.0,130.678,8.6,Kappei Yamaguchi,ACTOR,33
Kicking and Screaming,MOVIE,1995,95,comedy,US,6.7,14015.0,11.962,6.285,Josh Hamilton,ACTOR,4
Seven Years in Tibet,MOVIE,1997,139,drama,GB,7.1,147831.0,22.433,7.162,Brad Pitt,ACTOR,34
Yu-Gi-Oh!,SHOW,1998,22,scifi,JP,7.3,21954.0,28.2,7.23,Megumi Ogata,ACTOR,28
Stepmom,MOVIE,1998,125,drama,US,6.8,70584.0,18.658,7.148,Julia Roberts,ACTOR,1
The Mask of Zorro,MOVIE,1998,136,action,US,6.8,188900.0,37.868,6.5,Antonio Banderas,ACTOR,17
Life,MOVIE,1999,108,comedy,US,6.8,52243.0,19.109,6.6,Eddie Murphy,ACTOR,4
Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,87,drama,JP,8.1,57273.0,34.894,8.363,Megumi Ogata,ACTOR,35
Adventures of Sonic the Hedgehog,SHOW,1993,22,scifi,US,6.2,4035.0,16.231,6.5,Jaleel White,ACTOR,36
My Girl,MOVIE,1991,102,drama,US,6.9,83620.0,35.444,7.4,Macaulay Culkin,ACTOR,1
Kenan & Kel,SHOW,1996,25,family,US,7.8,16037.0,47.356,8.253,Kenan Thompson,ACTOR,37
One Last Shot,MOVIE,1998,30,drama,,6.540941965073206,21150.29081903414,2.31,5.2,Robb Wells,ACTOR,38
Girlfriends,SHOW,2000,21,drama,US,7.4,4715.0,55.719,7.607,Tracee Ellis Ross,ACTOR,39
H,SHOW,1998,25,comedy,FR,7.4,1803.0,5.473,7.375,Eric Judor,ACTOR,40
Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,75,comedy,US,7.8,5998.0,5.353,7.468,Jerry Seinfeld,ACTOR,4
The Last Days,MOVIE,1999,87,drama,US,7.9,4871.0,6.591,7.589,Bill Basch,ACTOR,1
Croupier,MOVIE,1998,94,thriller,IE,7.0,22470.0,11.297,6.776,Clive Owen,ACTOR,-1
Heavy,MOVIE,1995,105,drama,US,6.8,5382.0,4.536,6.8,Liv Tyler,ACTOR,1
All That,SHOW,1994,24,comedy,US,7.5,7913.0,16.738,8.119,Chelsea Brummet,ACTOR,16
The Nutty Professor,MOVIE,1996,95,romance,US,5.7,119572.0,19.383,5.6,Eddie Murphy,ACTOR,2
Heartbreak High,SHOW,1994,45,drama,AU,7.8,3341.0,28.799,7.115,Callan Mulvey,ACTOR,41
Evangelion: Death (True)²,MOVIE,1998,69,animation,JP,6.540941965073206,21150.29081903414,11.192,7.0,Megumi Ogata,ACTOR,22
The Wiggles,SHOW,1998,20,family,AU,8.0,165.0,20.011,6.214,Anthony Field,ACTOR,-1
Edge of Seventeen,MOVIE,2000,104,romance,US,6.8,6803.0,8.508,6.5,Chris Stafford,ACTOR,2
Cardcaptor Sakura,SHOW,1998,25,scifi,JP,8.0,5234.0,89.819,8.589,Sakura Tange,ACTOR,28
Okupas,SHOW,2000,40,drama,AR,9.0,2630.0,7.29,8.635,Rodrigo de la Serna,ACTOR,42
Sankofa,MOVIE,1993,124,drama,ET,7.0,743.0,3.14,6.0,Kofi Ghanaba,ACTOR,-1
A Chinese Odyssey Part One: Pandora's Box,MOVIE,1995,88,action,HK,7.5,7724.0,11.512,7.3,Stephen Chow,ACTOR,-1
The Parkers,SHOW,1999,19,comedy,US,6.9,2486.0,15.417,7.9,Mo'Nique,ACTOR,16
Moesha,SHOW,1996,21,drama,US,5.8,3899.0,16.214,6.9,Brandy Norwood,ACTOR,39
"Sister, Sister",SHOW,1994,22,comedy,US,6.3,13054.0,32.225,7.456,Tia Mowry-Hardrict,ACTOR,16
Before the Flying Circus,MOVIE,2000,55,comedy,GB,7.3,186.0,2.078,8.5,John Cleese,ACTOR,6
Maya Memsaab,MOVIE,1993,126,drama,IN,5.4,2260.0,3.476,5.806,Deepa Sahi,ACTOR,8
Dil Se..,MOVIE,1998,163,drama,IN,7.5,29580.0,7.346,6.817,Shah Rukh Khan,ACTOR,8
Herod's Law,MOVIE,2000,123,comedy,MX,7.8,6414.0,12.915,7.983,Damián Alcázar,ACTOR,43
A Chinese Odyssey Part Two: Cinderella,MOVIE,1995,99,action,CN,7.8,7900.0,11.979,7.5,Stephen Chow,ACTOR,44
Blue Streak,MOVIE,1999,93,comedy,DE,6.3,85125.0,39.153,6.5,Martin Lawrence,ACTOR,45
Kabhi Haan Kabhi Naa,MOVIE,1994,158,romance,IN,7.7,18728.0,8.073,6.523,Shah Rukh Khan,ACTOR,9
Bombay,MOVIE,1995,141,drama,IN,8.1,13031.0,5.67,7.2,Arvind Swamy,ACTOR,8
Phir Bhi Dil Hai Hindustani,MOVIE,2000,160,comedy,IN,6.1,7954.0,5.662,6.5,Shah Rukh Khan,ACTOR,24
Chaahat,MOVIE,1996,148,drama,IN,5.5,3014.0,4.134,6.722,Shah Rukh Khan,ACTOR,8
Nutty Professor II: The Klumps,MOVIE,2000,106,romance,US,4.4,51851.0,19.541,5.0,Eddie Murphy,ACTOR,2
Hum Aapke Hain Koun..!,MOVIE,1994,206,drama,IN,7.5,21674.0,7.762,6.415,Salman Khan,ACTOR,8
Wild Tango,MOVIE,1993,124,drama,ES,6.7,1652.0,4.917,6.2,Fernán Mirás,ACTOR,46
Kuch Kuch Hota Hai,MOVIE,1998,177,drama,IN,7.5,54032.0,15.8,7.6,Shah Rukh Khan,ACTOR,8
Yaar Gaddar,MOVIE,1994,147,crime,IN,3.7,168.0,2.383,6.0,Saif Ali Khan,ACTOR,12
Barney & Friends,SHOW,1992,29,comedy,US,3.9,7883.0,31.939,4.851,David Joyner,ACTOR,16
The Other,MOVIE,1999,106,drama,EG,5.9,1030.0,0.84,5.955,Hanan Turk,ACTOR,7
Chamatkar,MOVIE,1992,163,comedy,IN,6.5,6508.0,7.592,6.579,Naseeruddin Shah,ACTOR,24
Mann,MOVIE,1999,174,drama,IN,6.1,5633.0,4.443,6.6,Aamir Khan,ACTOR,8
Chronicle of a Disappearance,MOVIE,1998,84,drama,DE,6.9,775.0,2.674,6.4,Elia Suleiman,ACTOR,47
Oh Darling! Yeh Hai India!,MOVIE,1995,153,comedy,IN,4.0,1790.0,2.346,5.2,Shah Rukh Khan,ACTOR,24
My First Errand,SHOW,1991,18,reality,JP,6.540941965073206,21150.29081903414,16.506,8.0,Unknown,Unknown,48
Escalona,SHOW,1991,44,drama,CO,6.540941965073206,21150.29081903414,8.981,7.612,Carlos Vives,ACTOR,49
Duplicate,MOVIE,1998,165,comedy,IN,5.5,7914.0,6.785,5.9,Shah Rukh Khan,ACTOR,24
Muthu,MOVIE,1995,165,comedy,IN,7.6,3056.0,6.74,7.08,Rajinikanth,ACTOR,24
Hum Saath Saath Hain,MOVIE,1999,177,romance,IN,6.3,8985.0,6.587,6.0,Salman Khan,ACTOR,9
Ram Jaane,MOVIE,1995,172,crime,IN,5.4,4087.0,4.962,5.143,Shah Rukh Khan,ACTOR,12
Anjaam,MOVIE,1994,146,drama,IN,6.6,6808.0,4.901,7.25,Shah Rukh Khan,ACTOR,8
English Babu Desi Mem,MOVIE,1996,163,romance,IN,4.6,2459.0,4.53,5.346,Shah Rukh Khan,ACTOR,9
Destiny,MOVIE,1997,136,drama,EG,7.2,2995.0,3.905,6.8,Nour El-Sherif,ACTOR,7
Avvai Shanmugi,MOVIE,1996,160,drama,IN,7.9,2706.0,3.89,7.4,Kamal Haasan,ACTOR,8
Hello Brother,MOVIE,1999,131,romance,IN,4.6,4393.0,3.796,5.7,Salman Khan,ACTOR,9
Sinbad: Afros and Bellbottoms,MOVIE,1993,59,comedy,US,7.7,189.0,3.404,5.5,Sinbad,ACTOR,4
Damini,MOVIE,1993,175,drama,IN,7.8,3693.0,3.401,7.8,Meenakshi Seshadri,ACTOR,8
Monty Python: Live at Aspen,MOVIE,1998,58,comedy,GB,7.8,1122.0,3.351,6.9,Robert Klein,ACTOR,6
Jeans,MOVIE,1998,175,comedy,IN,6.4,3728.0,2.978,6.483,Prashanth Thyagarajan,ACTOR,24
West Beirut,MOVIE,1998,105,comedy,LB,7.6,4462.0,2.905,7.4,Rami Doueiri,ACTOR,50
Gumrah,MOVIE,1993,149,crime,IN,6.1,857.0,2.724,7.4,Sanjay Dutt,ACTOR,12
Shikari,MOVIE,1991,162,drama,SU,5.8,79.0,2.671,6.7,Mithun Chakraborty,ACTOR,-1
Out of Life,MOVIE,1991,97,drama,IT,6.9,412.0,2.565,6.3,Hippolyte Girardot,ACTOR,51
Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,118,comedy,TR,6.540941965073206,21150.29081903414,2.531,7.8,Demet Akbağ,ACTOR,52
Yodha,MOVIE,1991,142,drama,IN,4.5,214.0,2.396,5.0,Sunny Deol,ACTOR,8
Minsara Kanavu,MOVIE,1997,145,comedy,IN,6.7,1276.0,2.181,6.708,Arvind Swamy,ACTOR,24
Dushmani,MOVIE,1995,156,action,IN,5.0,258.0,2.179,8.3,Sunny Deol,ACTOR,14
Children of Shatila,MOVIE,1999,50,documentation,LB,7.7,105.0,2.004,6.7,Mai Masri,DIRECTOR,-1
Sinbad: Nothin' but the Funk,MOVIE,1997,55,comedy,US,6.4,70.0,1.939,5.2,Sinbad,ACTOR,4
The Emigrant,MOVIE,1994,129,drama,EG,6.5,1056.0,1.548,6.1,Khaled El Nabawy,ACTOR,7
A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,100,drama,US,7.2,256.0,1.5,5.1,Mario Van Peebles,ACTOR,1
Aashik Aawara,MOVIE,1993,153,romance,IN,4.8,345.0,1.462,5.5,Saif Ali Khan,ACTOR,9
The Trial of Adolf Eichmann,MOVIE,1997,90,documentation,FR,7.4,123.0,1.448,7.7,Michaël Prazan,DIRECTOR,53
Qila,MOVIE,1998,160,drama,IN,4.9,137.0,1.414,6.0,Dilip Kumar,ACTOR,8
Nightmare in Columbia County,MOVIE,1991,100,drama,US,5.5,364.0,1.357,6.0,William Devane,ACTOR,1
Sinbad: Son of a Preacher Man,MOVIE,1996,56,comedy,US,6.8,128.0,1.057,5.8,Sinbad,ACTOR,4
Breaking Bad,SHOW,2008,48,drama,US,9.5,1936461.0,451.776,8.868,Bryan Cranston,ACTOR,39
The Walking Dead,SHOW,2010,46,action,US,8.1,1013253.0,656.772,8.116,Norman Reedus,ACTOR,30
Grey's Anatomy,SHOW,2005,48,drama,US,7.6,316260.0,1003.948,8.256,Ellen Pompeo,ACTOR,39
Arrested Development,SHOW,2003,28,comedy,US,8.7,309568.0,53.506,8.007,Jason Bateman,ACTOR,16
Community,SHOW,2009,23,comedy,US,8.5,271794.0,123.496,8.0,Joel McHale,ACTOR,16
NCIS,SHOW,2003,43,thriller,US,7.7,137745.0,529.18,7.622,Gary Cole,ACTOR,54
Avatar: The Last Airbender,SHOW,2005,24,animation,US,9.3,324247.0,70.273,8.7,Zach Tyler,ACTOR,32
Supernatural,SHOW,2005,45,drama,US,8.4,453184.0,572.356,8.303,Jensen Ackles,ACTOR,39
Top Gear,SHOW,2002,58,comedy,GB,8.7,120892.0,65.944,7.38,Chris Harris,ACTOR,5
The Lord of the Rings: The Fellowship of the Ring,MOVIE,2001,178,fantasy,NZ,8.8,1895545.0,110.122,8.394,Elijah Wood,ACTOR,-1
The Great British Baking Show,SHOW,2010,58,reality,GB,8.6,11204.0,18.258,7.611,Mary Berry,ACTOR,55
Friday Night Lights,SHOW,2006,43,drama,US,8.7,68182.0,19.601,8.035,Kyle Chandler,ACTOR,39
The IT Crowd,SHOW,2006,25,comedy,GB,8.5,155675.0,39.786,8.13,Chris O'Dowd,ACTOR,5
Minority Report,MOVIE,2002,144,thriller,US,7.6,560336.0,27.119,7.331,Tom Cruise,ACTOR,19
Scott Pilgrim vs. the World,MOVIE,2010,112,comedy,GB,7.5,435120.0,35.09,7.457,Michael Cera,ACTOR,6
The Dark Knight,MOVIE,2008,152,drama,GB,9.0,2684317.0,81.703,8.508,Christian Bale,ACTOR,34
